"course_id","course_name","competency","category","level","delivery_mode","duration_hours","duration_weeks","max_participants","resource_types","prerequisites","certification_offered","start_date","end_date","status","num_qualified_trainers","primary_trainer_id","num_recommended_trainees","total_enrolled","completion_rate_percent","average_course_rating","average_assessment_pass_rate_percent","description","qualified_trainers"
"C1009","Doppler Radar Operations for Field Officers","Doppler radar operations","Doppler Radar Operations","Intermediate","Offline","12","2","50","System.Object[]","System.Object[]","True","2026-07-22","2026-08-05","completed","5","TRN20260213","6","46","98","4.6","97.8","Doppler Radar Operations for Field Officers equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1010","Hands-on Doppler Radar Operations","Doppler radar operations","Doppler Radar Operations","Advanced","Hybrid","20","2","40","System.Object[]","System.Object[]","False","2027-01-01","2027-01-15","upcoming","5","TRN20260213","4","34","67.3","4.4","88.5","Hands-on Doppler Radar Operations equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1011","Applied Doppler Radar Operations","Doppler radar operations","Doppler Radar Operations","Beginner","Online","12","2","25","System.Object[]","System.Object[]","True","2026-04-21","2026-05-05","completed","5","TRN20260213","3","23","75.5","4.8","80.7","Applied Doppler Radar Operations equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1012","Doppler Radar Operations: Core Concepts","Doppler radar operations","Doppler Radar Operations","Intermediate","Offline","40","5","25","System.Object[]","System.Object[]","True","2026-08-30","2026-10-04","ongoing","5","TRN20260213","6","23","79.3","3.7","70.2","Doppler Radar Operations: Core Concepts equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1013","Doppler Radar Operations for New Recruits","Doppler radar operations","Doppler Radar Operations","Beginner","Hybrid","16","2","40","System.Object[]","System.Object[]","True","2026-09-17","2026-10-01","ongoing","5","TRN20260213","3","11","58.2","3.6","70.3","Doppler Radar Operations for New Recruits equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1014","Doppler Radar Operations in Operational Forecasting","Doppler radar operations","Doppler Radar Operations","Beginner","Online","12","2","30","System.Object[]","System.Object[]","True","2026-08-14","2026-08-28","completed","5","TRN20260213","7","8","93.3","4.5","66.1","Doppler Radar Operations in Operational Forecasting equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1015","Foundations of Doppler Radar Operations","Doppler radar operations","Doppler Radar Operations","Beginner","Offline","32","4","30","System.Object[]","System.Object[]","False","2026-06-13","2026-07-11","completed","5","TRN20260213","5","5","69.3","3.4","98.2","Foundations of Doppler Radar Operations equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1016","Practical Lab: Doppler Radar Operations","Doppler radar operations","Doppler Radar Operations","Advanced","Hybrid","24","3","40","System.Object[]","System.Object[]","False","2026-04-12","2026-05-03","completed","5","TRN20260213","5","24","70.7","4.8","97.9","Practical Lab: Doppler Radar Operations equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1017","Doppler Radar Operations Bootcamp","Doppler radar operations","Doppler Radar Operations","Beginner","Online","12","2","25","System.Object[]","System.Object[]","False","2026-07-28","2026-08-11","completed","5","TRN20260213","4","10","86.7","3.8","96.3","Doppler Radar Operations Bootcamp equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1018","Doppler Radar Operations Certification Program","Doppler radar operations","Doppler Radar Operations","Intermediate","Offline","12","2","20","System.Object[]","System.Object[]","False","2026-04-27","2026-05-11","completed","5","TRN20260213","4","12","56","3.5","72.8","Doppler Radar Operations Certification Program equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1019","Doppler Radar Operations: Tools and Applications","Doppler radar operations","Doppler Radar Operations","Advanced","Hybrid","16","2","50","System.Object[]","System.Object[]","True","2026-12-09","2026-12-23","upcoming","5","TRN20260213","4","27","86.3","3.7","83.6","Doppler Radar Operations: Tools and Applications equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1020","Doppler Radar Operations Best Practices","Doppler radar operations","Doppler Radar Operations","Beginner","Online","20","2","50","System.Object[]","System.Object[]","False","2026-05-25","2026-06-08","completed","5","TRN20260213","6","9","95.8","4.8","84.3","Doppler Radar Operations Best Practices equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1021","Doppler Radar Operations Essentials","Doppler radar operations","Doppler Radar Operations","Beginner","Offline","24","3","30","System.Object[]","System.Object[]","False","2026-07-08","2026-07-29","completed","5","TRN20260213","4","14","72.5","4.6","71.9","Doppler Radar Operations Essentials equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1022","Doppler Radar Operations Capstone Project","Doppler radar operations","Doppler Radar Operations","Advanced","Hybrid","40","5","50","System.Object[]","System.Object[]","True","2026-04-04","2026-05-09","completed","5","TRN20260213","7","20","83.9","3.6","67.8","Doppler Radar Operations Capstone Project equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1023","Doppler Radar Operations Workshop","Doppler radar operations","Doppler Radar Operations","Beginner","Online","12","2","40","System.Object[]","System.Object[]","True","2026-04-17","2026-05-01","completed","5","TRN20260213","8","19","62.6","4.8","80.2","Doppler Radar Operations Workshop equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C104","Radar Data Interpretation","Radar data interpretation","Radar Data Interpretation","Beginner","Online","16","2","40","System.Object[]","System.Object[]","False","2026-10-21","2026-11-04","upcoming","5","TRN20260097","5","19","71.5","3.5","68.3","Radar Data Interpretation equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1024","Introduction to Radar Data Interpretation","Radar data interpretation","Radar Data Interpretation","Beginner","Offline","16","2","50","System.Object[]","System.Object[]","True","2026-10-23","2026-11-06","upcoming","5","TRN20260097","6","27","67.8","3.9","94.8","Introduction to Radar Data Interpretation equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1025","Foundations of Radar Data Interpretation","Radar data interpretation","Radar Data Interpretation","Beginner","Hybrid","20","2","25","System.Object[]","System.Object[]","True","2026-04-05","2026-04-19","completed","5","TRN20260097","5","22","56.2","3.9","82","Foundations of Radar Data Interpretation equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1026","Master Class: Radar Data Interpretation","Radar data interpretation","Radar Data Interpretation","Beginner","Online","32","4","40","System.Object[]","System.Object[]","False","2026-05-03","2026-05-31","completed","5","TRN20260097","5","29","67","4.8","76.4","Master Class: Radar Data Interpretation equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1027","Radar Data Interpretation for Decision Makers","Radar data interpretation","Radar Data Interpretation","Intermediate","Offline","8","1","50","System.Object[]","System.Object[]","True","2026-11-20","2026-11-27","upcoming","5","TRN20260097","3","17","91.1","4.3","69.3","Radar Data Interpretation for Decision Makers equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1028","Applied Radar Data Interpretation","Radar data interpretation","Radar Data Interpretation","Advanced","Hybrid","24","3","25","System.Object[]","System.Object[]","True","2026-07-02","2026-07-23","completed","5","TRN20260097","7","14","79.8","4.7","74.6","Applied Radar Data Interpretation equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1029","Radar Data Interpretation for Field Officers","Radar data interpretation","Radar Data Interpretation","Beginner","Online","24","3","25","System.Object[]","System.Object[]","True","2026-11-28","2026-12-19","upcoming","5","TRN20260097","7","7","76.8","3.8","93.1","Radar Data Interpretation for Field Officers equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1030","Radar Data Interpretation Workshop","Radar data interpretation","Radar Data Interpretation","Intermediate","Offline","20","2","30","System.Object[]","System.Object[]","False","2026-08-12","2026-08-26","completed","5","TRN20260097","8","13","68.9","3.6","96.5","Radar Data Interpretation Workshop equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1031","Radar Data Interpretation Best Practices","Radar data interpretation","Radar Data Interpretation","Advanced","Hybrid","12","2","40","System.Object[]","System.Object[]","True","2027-01-01","2027-01-15","upcoming","5","TRN20260097","4","26","67","4.2","94.3","Radar Data Interpretation Best Practices equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1032","Radar Data Interpretation Capstone Project","Radar data interpretation","Radar Data Interpretation","Beginner","Online","24","3","25","System.Object[]","System.Object[]","False","2027-01-14","2027-02-04","upcoming","5","TRN20260097","6","7","67.7","3.9","69.5","Radar Data Interpretation Capstone Project equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1033","Radar Data Interpretation: Case Studies from Indian Meteorology","Radar data interpretation","Radar Data Interpretation","Intermediate","Offline","20","2","50","System.Object[]","System.Object[]","True","2026-06-25","2026-07-09","completed","5","TRN20260097","5","12","86","3.7","89","Radar Data Interpretation: Case Studies from Indian Meteorology equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1034","Radar Data Interpretation in Operational Forecasting","Radar data interpretation","Radar Data Interpretation","Advanced","Hybrid","12","2","40","System.Object[]","System.Object[]","True","2026-08-19","2026-09-02","completed","5","TRN20260097","4","39","60.4","3.3","62.1","Radar Data Interpretation in Operational Forecasting equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1035","Radar Data Interpretation: Core Concepts","Radar data interpretation","Radar Data Interpretation","Beginner","Online","32","4","40","System.Object[]","System.Object[]","True","2027-01-12","2027-02-09","upcoming","5","TRN20260097","6","35","59.9","3.3","79.2","Radar Data Interpretation: Core Concepts equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1036","Radar Data Interpretation Certification Program","Radar data interpretation","Radar Data Interpretation","Intermediate","Offline","12","2","25","System.Object[]","System.Object[]","True","2026-04-22","2026-05-06","completed","5","TRN20260097","7","14","92","4.9","71.9","Radar Data Interpretation Certification Program equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1037","Practical Lab: Radar Data Interpretation","Radar data interpretation","Radar Data Interpretation","Advanced","Hybrid","40","5","25","System.Object[]","System.Object[]","True","2026-04-08","2026-05-13","completed","5","TRN20260097","4","5","72.6","4.4","78.3","Practical Lab: Radar Data Interpretation equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1038","Specialized Radar Data Interpretation Training","Radar data interpretation","Radar Data Interpretation","Beginner","Online","16","2","30","System.Object[]","System.Object[]","False","2027-01-08","2027-01-22","upcoming","5","TRN20260097","8","9","58.1","3.5","72","Specialized Radar Data Interpretation Training equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1039","Radar Data Interpretation: Tools and Applications","Radar data interpretation","Radar Data Interpretation","Intermediate","Offline","20","2","20","System.Object[]","System.Object[]","True","2027-01-11","2027-01-25","upcoming","5","TRN20260097","7","15","81","3.2","68.9","Radar Data Interpretation: Tools and Applications equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1040","Radar Data Interpretation Essentials","Radar data interpretation","Radar Data Interpretation","Beginner","Hybrid","40","5","30","System.Object[]","System.Object[]","True","2026-05-15","2026-06-19","completed","5","TRN20260097","5","7","75.2","3.9","72.5","Radar Data Interpretation Essentials equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1041","Radar Data Interpretation for New Recruits","Radar data interpretation","Radar Data Interpretation","Beginner","Online","16","2","40","System.Object[]","System.Object[]","False","2026-11-14","2026-11-28","upcoming","5","TRN20260097","6","37","90.5","3.2","93.9","Radar Data Interpretation for New Recruits equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1042","Radar Data Interpretation Refresher Course","Radar data interpretation","Radar Data Interpretation","Intermediate","Offline","8","1","25","System.Object[]","System.Object[]","True","2026-07-23","2026-07-30","completed","5","TRN20260097","4","19","92.9","4","61.1","Radar Data Interpretation Refresher Course equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
